city,iso,lat_benchmark,lon_benchmark,ucdb_id,source_city,source_iso,iso_rph,iso_ind,city_state_overrided,pop_total_LS,ntl_mean,EQ_raw,EQ_w,FL_raw,FL_w,TC_raw,TC_w,DR_raw,DR_w,LS_EQ_raw,LS_EQ_w,LS_rain_raw,LS_rain_w,LS_w,ts_raw,ts_distance_deg,ts_w,ts_coordinate_missing,hazard_composite_6haz,n_country_cities,denom_src,hazard_ref,pop_ref,ntl_ref,H,pop_ratio,ntl_ratio,E,R_Ph_national,R_Ph_national_effective,national_risk_override
Lima,PER,-12.0460670000,-77.0520080000,2171,Lima,PER,PER,PER,0,9892195.0000000000,18.0425615811,120.7355587384,0.1822134393,3.4124878038,0.0000646949,0.0000000000,0.0000000000,6.7304907952,0.2264975317,1.1820646638,0.1746596087,1.0987876205,0.1509167794,0.1746596087,17.0158000000,0.0692998702,1.0000000000,0,0.2639058791,95,PER,0.2144713380,451745.1578947369,1.5495549301,1.2304948601,21.8977333285,11.6437057058,17.0088905144,0.9938127709,0.9938127709,
Chicago,USA,41.8319370000,-87.7520010000,7532,Chicago,USA,USA,USA,0,5288622.0000000000,32.5775568824,0.0000000000,0.0000000000,24.8319986599,0.0034257120,0.0000000000,0.0000000000,5.7869335164,0.1674429976,1.0000000000,0.1250000000,1.0000000000,0.1250000000,0.1250000000,0.0000000000,11.2436605986,0.0000000000,0,0.0493114516,725,USA,0.1119911810,421538.6400000000,4.3078765791,0.4403154887,12.5459957834,7.5623236377,10.2462556165,0.2931765360,0.2931765360,
Melbourne,AUS,-37.8303621784,145.0450987974,1747,Melbourne,AUS,AUS,AUS,0,236849.0000000000,73.7856036898,0.0000000000,0.0000000000,19.5499072048,0.0021233271,0.0000000000,0.0000000000,6.2591269457,0.1958833506,1.0000000000,0.1250000000,1.0000000000,0.1250000000,0.1250000000,0.5207000000,0.0839208655,0.0024100310,0,0.0542361181,222,AUS,0.1092745119,58831.8423423423,2.0361893508,0.4963290815,4.0258640656,36.2371032248,9.6956482950,0.2341875522,0.2341875522,
Berlin,DEU,52.5237650000,13.3996030000,5483,Berlin,DEU,DEU,DEU,0,3793496.0000000000,8.5235769883,0.0000000000,0.0000000000,67.2915764109,0.0251564236,0.0000000000,0.0000000000,6.3581930170,0.2021330922,1.0000000000,0.1250000000,1.0000000000,0.1250000000,0.1250000000,0.0000000000,8.0750862796,0.0000000000,0,0.0587149193,60,DEU,0.0569831005,430966.0166666667,4.7253058807,1.0303917963,8.8023088905,1.8038148648,4.6691169002,0.1382647992,0.1382647992,
Madrid,ESP,40.4019720000,-3.6852980000,3338,Madrid,ESP,ESP,ESP,0,6763289.0000000000,0.0772625002,0.0000000000,0.0000000000,0.1921139167,0.0000002050,0.0000000000,0.0000000000,5.2039684175,0.1354064365,1.0086899921,0.1271819375,1.0066823334,0.1266761651,0.1271819375,0.0000000000,3.0253299105,0.0000000000,0,0.0437647632,52,ESP,0.0553639320,1205980.0961538462,3.0605629521,0.7904923222,5.6081265533,0.0252445388,0.6458886600,0.2020357804,0.2020357804,
Paris,FRA,48.8686390000,2.3313900000,2878,Paris,FRA,FRA,FRA,0,2470905.0000000000,31.0944720055,0.0000000000,0.0000000000,304.3530625266,0.5144049353,0.0000000000,0.0000000000,5.1903057705,0.1346963700,1.0000000000,0.1250000000,1.0000000000,0.1250000000,0.1250000000,0.0000000000,2.6165443927,0.0000000000,0,0.1290168842,72,FRA,0.0571480991,847868.4583333334,2.1753041701,2.2575883775,2.9142551250,14.2943099327,5.5053105105,0.1763317138,0.1763317138,
Rome,ITA,41.8979020000,12.4813130000,3938,Rome,ITA,ITA,ITA,0,4411984.0000000000,6.9931816209,92.6117368238,0.1072116725,19.4321733022,0.0020978298,0.0000000000,0.0000000000,6.8916670334,0.2374753725,1.0327441413,0.1333200577,1.0648490947,0.1417379493,0.1417379493,0.3199000000,0.2385515304,0.0009096534,0,0.0815720796,57,ITA,0.0805831816,818989.8070175438,3.3093521776,1.0122717659,5.3871048970,2.1131572723,3.7049810208,0.3403886097,0.3403886097,
Amsterdam,NLD,52.3519150000,4.9146940000,1590,Amsterdam,NLD,NLD,NLD,0,929293.0000000000,14.1874635659,0.0000000000,0.0000000000,12.3288834716,0.0008444520,0.0000000000,0.0000000000,5.3704562712,0.1442090028,1.0000000000,0.1250000000,1.0000000000,0.1250000000,0.1250000000,0.0000000000,6.0047466917,0.0000000000,0,0.0450089091,14,NLD,0.0537171264,303000.6428571428,7.7259228671,0.8378875068,3.0669670904,1.8363454839,2.4980850829,0.1269158608,0.1269158608,
Stockholm,SWE,59.3527060000,18.0953890000,1693,Stockholm,SWE,SWE,SWE,0,1080289.0000000000,18.3947871808,0.0000000000,0.0000000000,14.1266767314,0.0011086833,0.0000000000,0.0000000000,6.2864433583,0.1975968505,1.0101261428,0.1275443530,1.0000000000,0.1250000000,0.1275443530,0.0000000000,15.1949271327,0.0000000000,0,0.0543749811,34,SWE,0.0503914089,145149.1176470588,2.0656600688,1.0790526060,7.4426149984,8.9050407947,7.9963113840,0.0262626863,0.0262626863,
Kinshasa,COD,-4.3277780000,15.3130260000,1876,Kinshasa,COD,COD,COD,0,13142919.0000000000,0.8022180503,0.0000000000,0.0000000000,480.1099866161,0.9201465816,0.0000000000,0.0000000000,5.3999961878,0.1457997941,1.0521408925,0.1383750572,1.0334456267,0.1335012329,0.1383750572,0.0000000000,16.6489916720,0.0000000000,0,0.2007202388,88,COD,0.1166662881,596512.4204545454,0.8472027117,1.7204647720,22.0329343520,0.9469021277,6.2569897170,0.9999999999,0.9999999999,
Cairo,EGY,30.0519060000,31.2480220000,4605,Cairo,EGY,EGY,EGY,0,257175.0000000000,119.1650821686,0.0000000000,0.0000000000,12.3077795687,0.0008415635,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.1250000000,1.0000000000,0.1250000000,0.1250000000,0.0000000000,1.3112123321,0.0000000000,0,0.0209735939,43,EGY,0.0966735349,412237.6046511628,23.1827576583,0.2169527984,0.6238513835,5.1402462091,1.4502479296,0.4931823041,0.4931823041,
Nairobi,KEN,-1.2814010000,36.8147110000,1717,Nairobi,KEN,KEN,KEN,0,468982.0000000000,26.4003514580,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,5.6315921121,0.1585741486,1.0130591379,0.1282861021,1.0130591379,0.1282861021,0.1282861021,0.0000000000,3.6779928037,0.0000000000,0,0.0478100418,36,KEN,0.0538772913,270907.1944444444,2.3119795971,0.8873876285,1.7311537295,11.4189379054,3.6817277080,1.0000000000,1.0000000000,
Niamey,NER,13.5186520000,2.1147100000,548,Niamey,NER,NER,NER,0,1511340.0000000000,7.9843269218,0.0000000000,0.0000000000,197.3157523373,0.2162972562,0.0000000000,0.0000000000,5.3869097746,0.1450939846,1.0000000000,0.1250000000,1.0008776521,0.1252195093,0.1252195093,0.0000000000,9.3373674105,0.0000000000,0,0.0811017917,16,NER,0.0568186166,684290.6875000000,0.8450065907,1.4273806116,2.2086227792,9.4488339025,3.9502466563,1.0000000000,1.0000000000,
